,Popularity,Recipe Name,Description,Ingredients,Directions,Category,Nutrients,Servings,Image URL
0,15,Grandma's Polish Perogies,These Polish perogies are made with a homemade dough recipe and filled with potatoes and cheese for delicious dumplings that are easy to customize.,"['4 ½ cups all-purpose flour', '2 teaspoons salt', '2 cups sour cream', '2 large eggs', '1 egg yolk', '2 tablespoons butter, melted', '2 tablespoons vegetable oil', '8 baking potatoes, peeled and cubed', '1 cup shredded Cheddar cheese', '2 tablespoons processed cheese sauce', '1 pinch onion salt, or to taste', 'salt and pepper to taste']","Gather all ingredients.
Prepare the dough: Stir flour and salt together in a large bowl. Whisk sour cream, eggs, egg yolk, butter, and oil in a separate bowl. Stir wet ingredients into flour until well blended and dough comes together. Cover the bowl with a towel, and let stand for 15 to 20 minutes.
Meanwhile, prepare the filling: Place potatoes into a pot, and fill with enough water to cover. Bring to a boil, and cook until tender, about 15 minutes.
Drain potatoes, and mash with shredded cheese and cheese sauce while still hot. Season with onion salt, salt, and pepper. Set aside to cool.
Separate pierogi dough into two balls. Roll out one ball at a time on a lightly floured surface until it is thin enough to work with, but not too thin so that it tears, between 1/8- and 1/4-inch thick. Cut into circles using a cookie cutter, pierogi cutter, or a glass, 3- to 4-inches in diameter.
Assemble the perogies: Brush a little water around the edges of the circles, and spoon some filling into the center.
Fold the circles over into half-circles, and press to seal the edges with fingers, or use a fork for crimped edges.
Place perogies on a cookie sheet, and freeze. Once frozen, transfer to freezer storage bags or containers.
To cook the perogies: Bring a large pot of lightly salted water to a boil. Lower perogies into the water in batches. Cook until they float to the top, about 5 minutes. Do not boil too long, or they will be soggy. Remove with a slotted spoon.
Serve and enjoy!",Dinner,"{'calories': '281 kcal', 'carbohydrateContent': '38 g', 'cholesterolContent': '50 mg', 'fiberContent': '3 g', 'proteinContent': '8 g', 'saturatedFatContent': '6 g', 'sodiumContent': '351 mg', 'sugarContent': '1 g', 'fatContent': '11 g', 'unsaturatedFatContent': '0 g'}",20 servings,https://www.allrecipes.com/thmb/qpnfm68-qgDLBqbwatZyGMYtu34=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/84706-grandmas-polish-perogies-DDMFS-4x3-178-e77fc1e836ef41b3b2de173ecd8f43b6.jpg
1,14,Sweet Polish Sausage,"Cooked Polish kielbasa is baked in a Worcestershire-based sauce laced with lemon juice, brown sugar and hot pepper sauce.","['2 pounds kielbasa sausage, cut into 1-inch pieces', '1 onion, chopped', '⅔ cup water', '½ cup brown sugar', '⅓ cup Worcestershire sauce', '1 tablespoon fresh lemon juice', '2 dashes hot pepper sauce']","Place sausage in a large saucepan with enough water to cover; simmer over low heat for 1 hour. Drain. Transfer sausage to a 9x13-inch baking dish; set aside.
Preheat the oven to 350 degrees F (175 degrees C).
Combine onion, 2/3 cup water, brown sugar, Worcestershire sauce, lemon juice, and hot pepper sauce in same saucepan; bring to a boil, stirring. Pour over sausage.
Bake in the preheated oven for 1 hour.",Dinner,"{'calories': '837 kcal', 'carbohydrateContent': '41 g', 'cholesterolContent': '150 mg', 'fiberContent': '0 g', 'proteinContent': '28 g', 'saturatedFatContent': '21 g', 'sodiumContent': '2296 mg', 'sugarContent': '34 g', 'fatContent': '62 g', 'unsaturatedFatContent': '0 g'}",4 servings,https://www.allrecipes.com/thmb/drnhYHWeY70TWOW8jBDUWWmxj7Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/411324-3bf546cf7341475180ab02d62f093581.jpg
2,14,Polish Chicken and Dumplings,This delicious and comforting Polish chicken soup with homemade dumplings is an old family recipe that has been perfected over the years!,"['1 (3 pound) whole chicken', '1 onion, chopped', '1 stalk celery, with leaves', '1 tablespoon poultry seasoning', '1 teaspoon whole allspice', '1 teaspoon dried basil', '½ teaspoon salt', '1 teaspoon black pepper', '1 teaspoon seasoning salt', '1 (10.75 ounce) can condensed cream of chicken soup (Optional)', '4 eggs', '2 tablespoons olive oil', '1 tablespoon salt', '1 teaspoon black pepper', '2 cups water', '4 cups all-purpose flour']","Place chicken, onion, and celery in a large pot; fill the pot with water. Season with poultry seasoning, whole allspice, basil, 1/2 teaspoon salt, 1 teaspoon pepper, and seasoning salt; bring to a boil. Reduce heat, and simmer for approximately 2 hours, or until chicken is cooked.
Remove chicken from broth and set chicken aside to cool; strain broth to remove seasonings and any bone. Return broth to the pan, stir in cream of chicken soup and continue simmering.
In a medium bowl, stir together eggs, olive oil, 1 tablespoon salt, and 1 teaspoon pepper with 2 cups water. Gradually add flour, and stir to form a thick dough.
Using a large spoon and knife, scoop a spoonful of dough and cut small pieces into broth. Repeat with remaining dough. Stir, cover, and simmer for about 15 minutes.
Meanwhile, skin and debone chicken; cut meat into small pieces, add to broth and heat through.",,"{'calories': '704 kcal', 'carbohydrateContent': '53 g', 'cholesterolContent': '224 mg', 'fiberContent': '2 g', 'proteinContent': '43 g', 'saturatedFatContent': '9 g', 'sodiumContent': '1543 mg', 'sugarContent': '1 g', 'fatContent': '34 g', 'unsaturatedFatContent': '0 g'}",8 servings,https://www.allrecipes.com/thmb/74Ihv_Mau1KUHmRvHgR5-9Uw1kY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4015385-af6bdb9127b74ec0a0cbdb5672c54696.jpg
3,14,Pierogi (Polish Dumplings),"These pierogies, made with tender sour cream and egg dough, are stuffed with buttery mashed potato, onion, and sauerkraut to make Polish dumplings.","['2 tablespoons butter', '⅓ cup chopped onion', '1 ½ cups sauerkraut, drained and minced', 'salt and pepper to taste', '3 tablespoons butter', '½ cup chopped onion', '2 cups cold mashed potatoes', '1 teaspoon salt', '1 teaspoon white pepper', '1 (8 ounce) container sour cream', '3 large eggs', '3 cups all-purpose flour', '1 tablespoon baking powder', '¼ teaspoon salt']","Gather all ingredients.
Make sauerkraut filling: Melt butter in a skillet over medium heat. Cook and stir onion in hot butter until translucent, about 5 minutes. Add sauerkraut and cook, stirring occasionally, for 5 more minutes. Season with salt and pepper, then remove to a plate to cool.
Make potato filling: Melt butter in the same skillet over medium heat. Cook and stir onion in hot butter until translucent, about 5 minutes. Stir in mashed potatoes, salt, and white pepper. Remove from heat.
Make dough: Beat together sour cream and eggs in a large bowl until smooth. Sift flour, baking powder, and salt into a separate bowl; stir into sour cream mixture until dough comes together.
Knead dough on a lightly floured surface until firm and smooth.
Divide dough in half, then roll out one half to 1/8-inch thickness. Cut into 3-inch rounds using a biscuit cutter. Place a small spoonful of potato filling into the center of each round.
Moisten edges with water, fold over, and press with a fork to seal. Roll and fill remaining dough half with sauerkraut filling.
Bring a large pot of lightly salted water to a boil. Add pierogies in batches to boiling water and cook until they float to the top, 3 to 5 minutes. Remove with a slotted spoon.
Enjoy!",Dinner,"{'calories': '253 kcal', 'carbohydrateContent': '33 g', 'cholesterolContent': '68 mg', 'fiberContent': '2 g', 'proteinContent': '6 g', 'saturatedFatContent': '6 g', 'sodiumContent': '698 mg', 'sugarContent': '2 g', 'fatContent': '11 g', 'unsaturatedFatContent': '0 g'}",12 servings,https://www.allrecipes.com/thmb/fvQOQ23nX3ZwbR4fnssTN9czKlo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/109914-Pierogi-ddmfs-3x4-8704-c7753a80e1bc40f582abd2be902da620.jpg
4,14,Polish Meat and Potatoes,Kielbasa is cooked on the stovetop with potatoes and onion. This is an old recipe from my grandmother. 'Good Polish-Slovak food!' She would always say. 'Eat more!',"['4 potatoes, peeled and cut into 1 inch cubes', '1 onion, chopped', '2 green bell peppers, cut into 1 inch pieces', '½ teaspoon onion powder', '½ teaspoon garlic powder', '½ teaspoon salt', '¼ teaspoon black pepper', '¼ cup vegetable oil', '1 (16 ounce) package kielbasa sausage, cut into 1 inch pieces']","Heat oil in a large skillet over medium-high heat. Cook onions and potatoes for 15 minutes, stirring occasionally. Reduce flame to med and stir in bell pepper, onion powder, garlic powder, salt and pepper. Cover, and cook 5 minutes. Stir in kielbasa, cover, and cook for 15 minutes, or until onions are caramelized.",Dinner,"{'calories': '661 kcal', 'carbohydrateContent': '46 g', 'cholesterolContent': '75 mg', 'fiberContent': '6 g', 'proteinContent': '19 g', 'saturatedFatContent': '13 g', 'sodiumContent': '1333 mg', 'sugarContent': '6 g', 'fatContent': '45 g', 'unsaturatedFatContent': '0 g'}",4 servings,https://www.allrecipes.com/thmb/OHct0E2qzSk9t9w6a7rF_605YZk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/672586-d485fb2760724783b4ed87310f916009.jpg
5,13,Polish Sausage Kraut Skillet,"For this Polish sausage kraut skillet recipe, sauerkraut and Polish sausages are simmered in a creamy, mild sour cream sauce scented with caraway seed.","['2 tablespoons unsalted butter', '1 onion, sliced', '2 cloves garlic, minced', '2 potatoes, sliced', '1 cup water', '1 cup sliced carrots', '2 tablespoons beef bouillon granules', '1 teaspoon white sugar', '½ teaspoon caraway seeds', '1 (14.5 ounce) can sauerkraut, drained', '1 pound kielbasa sausage', '1 cup sour cream', '2 teaspoons all-purpose flour', 'salt and ground black pepper to taste']","Heat butter in a large skillet with a lid over medium heat. Add onion and garlic; cook and stir until onion is translucent, about 5 minutes. Stir in potatoes, water, carrots, bouillon granules, sugar, and caraway seeds; bring to a boil. Reduce heat to a simmer; cook until potatoes and carrots are tender, stirring occasionally, about 15 minutes.
Layer sauerkraut on top of vegetables; place sausages onto sauerkraut. Cover, and cook until sausages are heated through, about 15 minutes.
Whisk sour cream and flour together in a bowl; stir into sauerkraut mixture. Bring to a simmer until sour cream thickened; season with salt and black pepper.",Dinner,"{'calories': '447 kcal', 'carbohydrateContent': '25 g', 'cholesterolContent': '77 mg', 'fiberContent': '4 g', 'proteinContent': '14 g', 'saturatedFatContent': '15 g', 'sodiumContent': '1640 mg', 'sugarContent': '6 g', 'fatContent': '33 g', 'unsaturatedFatContent': '0 g'}",6 servings,https://www.allrecipes.com/thmb/9KsAIuvPL76Jh3DOKzb1PBzLjvI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6994536-083e7ca7a3624292a6ca9e32240bc54c.jpg
6,15,Polish Noodles (Cottage Cheese and Noodles),"This family-favorite recipe for pasta with cottage cheese, sour cream, and buttery sautéed onions can be served as either a main course or a side dish.","['½ cup butter', '1 small onion, diced', '1 (16 ounce) package egg noodles', '1 (16 ounce) container cottage cheese', '½ cup sour cream', '½ teaspoon sea salt', '¼ teaspoon ground black pepper']","Melt butter in a saucepan over medium heat. Cook and stir onion in melted butter until softened, 7 to 10 minutes.
Meanwhile, bring a large pot of lightly salted water to a boil. Add egg noodles and cook, stirring occasionally, until partially cooked, about 5 minutes. Drain and return to the pot.
Pour onion mixture over noodles, then stir in cottage cheese, sour cream, salt, and pepper. Cook over medium heat, stirring occasionally, until sauce is heated through and noodles are tender, yet firm to the bite, 5 to 8 minutes.",Dinner,"{'calories': '409 kcal', 'carbohydrateContent': '43 g', 'cholesterolContent': '92 mg', 'fiberContent': '2 g', 'proteinContent': '16 g', 'saturatedFatContent': '11 g', 'sodiumContent': '438 mg', 'fatContent': '20 g', 'unsaturatedFatContent': '0 g'}",8 servings,https://www.allrecipes.com/thmb/jOfulJw4c8wKb-1xECgvDL83TTw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6478788-polish-noodles-cottage-cheese-and-noodles-LandOfOzzie-1x1-1-e49cbac8f8ea46a69a96bd34126cb3d7.jpg
7,14,Polish Cream Cheese Coffee Cake,A moist coffee cake with a sweet cream cheese center and crunchy pecan topping is the perfect treat to serve at your next brunch.,"['1 cup white sugar', '½ cup unsalted butter', '1 egg', '1 cup sour cream', '1 teaspoon vanilla extract', '3 cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon baking powder', '2 (8 ounce) packages cream cheese, softened', '½ cup white sugar', '1 egg', '½ cup chopped pecans', '½ cup brown sugar', '⅓ cup all-purpose flour', '⅓ cup unsalted butter']","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.
Beat 1 cup white sugar, 1/2 cup butter, and 1 egg in a bowl until smooth. Add sour cream and vanilla extract; mix well. Stir in 3 cups flour, baking soda, and baking powder until a sticky dough forms. Spread 1/2 dough evenly into prepared baking dish.
Beat cream cheese, 1/2 cup white sugar, and 1 egg in a separate bowl until smooth; spoon over dough in baking dish. Drop spoonfuls remaining 1/2 dough over filling.
Combine pecans, brown sugar, 1/3 cup flour, and 1/3 cup butter in a bowl until resembles coarse crumble; sprinkle over dough.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 45 minutes.","Dessert,Brunch,Breakfast,Snack","{'calories': '575 kcal', 'carbohydrateContent': '60 g', 'cholesterolContent': '114 mg', 'fiberContent': '1 g', 'proteinContent': '9 g', 'saturatedFatContent': '19 g', 'sodiumContent': '371 mg', 'sugarContent': '31 g', 'fatContent': '34 g', 'unsaturatedFatContent': '0 g'}",12 servings,https://www.allrecipes.com/thmb/pwtXMTUVPsLZAJrrWfcMiyHmVAE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1123715-polish-cream-cheese-coffee-cake-Holiday-Baker-1x1-1-9a79e2e5b0f741df849f6fa1e8ff9201.jpg
8,13,Polish Egg Salad,"This egg salad is quite popular in Poland as a sandwich filling; instead of mayonnaise it is made with cream cheese, onion, and butter.","['1 (8 ounce) package cream cheese, softened', '1 tablespoon butter, softened, or more to taste', '4 hard-boiled eggs, chopped', '1 small onion, chopped', 'salt and ground black pepper to taste', '1 tablespoon chopped fresh parsley, or to taste']","Combine cream cheese and butter in a bowl and mash with a fork. If mixture is too thick, add more softened butter. Mix in eggs and onion. Season with salt and pepper; serve with parsley.",Lunch,"{'calories': '204 kcal', 'carbohydrateContent': '3 g', 'cholesterolContent': '188 mg', 'fiberContent': '0 g', 'proteinContent': '7 g', 'saturatedFatContent': '11 g', 'sodiumContent': '192 mg', 'sugarContent': '1 g', 'fatContent': '19 g', 'unsaturatedFatContent': '0 g'}",6 servings,https://www.allrecipes.com/thmb/O2O9NFYpCi5t_pCqGOKT6X6SIII=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4557057-c321441d0e5346069da907f958bb070a.jpg
9,14,Polish Cabbage Noodles,A buttery saute of shredded cabbage and chopped onion is folded into tender egg noodles to make a quick and comforting dish.,"['1 medium head shredded cabbage', '2 red onions, cut into strips', '½ cup butter', '1 (16 ounce) package wide egg noodles', 'salt to taste', 'ground black pepper to taste']","Cook pasta in a large pot of boiling salted water.
Meanwhile, heat butter or margarine in a skillet over medium heat. Saute cabbage and onions until tender.
Drain pasta, and return to the pot. Add cabbage and onion mixture to the noodles, and toss. Season with salt and pepper to taste.","Dinner,Side Dish","{'calories': '570 kcal', 'carbohydrateContent': '79 g', 'cholesterolContent': '124 mg', 'fiberContent': '8 g', 'proteinContent': '16 g', 'saturatedFatContent': '13 g', 'sodiumContent': '184 mg', 'sugarContent': '9 g', 'fatContent': '23 g', 'unsaturatedFatContent': '0 g'}",5 servings,https://www.allrecipes.com/thmb/QtpRdbdzHXWv23CU7IvLf6TNfRc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/30396-9b1447d9074649db9361cdaa53c467fa.jpg
